Enterprise_ID,Enterprise_Name,Sector,Annual_Revenue,Employees,Credit_Score,Loan_Amount,Loan_Purpose,Loan_Tenure,Interest_Rate,Prev_Loan_Default,Collateral_Value,Application_Date,Loan_Approved
1001,"Johnson, Hernandez and Welch",Finance,26836512,111,707,4076974,Working Capital,12,12.19,No,2523055,2025-02-21,No
1905,Gonzalez-Ross,Construction,49383877,441,570,4884377,Equipment Purchase,36,11.11,No,3694393,2025-02-16,No
1924,"Glass, Duncan and Hall",Education,34149417,310,808,2775032,Marketing,24,8.91,No,2881455,2025-02-16,Yes
1976,Allen-Bryant,Transportation,30461504,99,722,334000,Marketing,36,7.91,No,3347334,2025-02-15,Yes
1151,"Jones, Weaver and Weaver",Retail,36393865,402,716,2461216,Debt Consolidation,48,10.74,No,4208527,2025-02-14,Yes
1284,Jennings LLC,Retail,29003805,309,392,593992,Research & Development,36,12.73,No,4762838,2025-02-14,No
1980,Ruiz-Rivera,Construction,47048559,304,677,2705221,Inventory Purchase,36,13.29,No,1204258,2025-02-13,No
1635,Porter PLC,Hospitality,44429245,445,770,126616,Real Estate,36,12.22,No,3057446,2025-02-13,Yes
1752,Cook-Banks,IT Services,48081137,278,577,2112755,Equipment Purchase,12,9.68,Yes,992639,2025-02-13,No
1503,Jenkins-Avery,Manufacturing,34957164,494,636,1949916,Expansion,36,12.01,No,3190283,2025-02-12,Yes
1396,Grant and Sons,Manufacturing,14775236,475,778,450067,Research & Development,60,12.2,No,102635,2025-02-12,No
1689,Henson-Gill,Retail,39464208,360,353,269934,Equipment Purchase,24,13.37,No,4985500,2025-02-12,No
1913,Barry-Jacobs,Agriculture,21709657,155,835,4875275,Real Estate,48,13.77,No,2370886,2025-02-11,No
1636,Mejia PLC,Transportation,45808939,408,517,4242887,Inventory Purchase,12,10.24,No,266194,2025-02-11,No
1251,Wade Inc,Transportation,12952314,58,723,1415823,Debt Consolidation,36,7.74,No,1344416,2025-02-09,Yes
1233,"Thornton, Woodard and Vargas",IT Services,35954715,297,567,2352641,Debt Consolidation,36,13.48,No,377370,2025-02-08,No
1350,"Blackwell, Peters and Macias",IT Services,16170521,340,380,2248983,Marketing,60,9.67,No,3986642,2025-02-08,No
1441,Rodriguez-Jenkins,Finance,24544744,40,604,1905518,Working Capital,48,10.42,No,428355,2025-02-06,No
1985,"Williams, Hopkins and Aguilar",Healthcare,49120511,109,776,4531373,Research & Development,36,10.01,No,3213257,2025-02-06,Yes
1719,"Deleon, Johnson and Campbell",Construction,17052465,385,818,1019134,Inventory Purchase,36,12.74,No,1916161,2025-02-05,Yes
1063,Howard Group,IT Services,42041777,237,331,1757888,Debt Consolidation,12,13.96,No,227265,2025-02-05,No
1651,Bruce PLC,Manufacturing,43862524,489,839,813340,Debt Consolidation,36,8.09,No,1971166,2025-02-04,Yes
1159,"Campbell, Williams and Burns",Hospitality,22116451,134,475,4102981,Marketing,60,10.46,No,2391102,2025-02-04,No
1656,"Hamilton, Olson and Porter",Construction,22402894,145,535,1979262,Working Capital,12,7.8,No,398249,2025-02-04,No
1830,Rodriguez-Yu,Construction,34321714,386,307,848692,Equipment Purchase,12,14.62,No,4313528,2025-02-03,No
1224,Simon-Knight,IT Services,4138145,496,340,1292503,Marketing,60,8.36,No,3979268,2025-02-03,No
1443,Fox-Robinson,Manufacturing,28381509,29,678,3036537,Debt Consolidation,60,14.43,No,4043611,2025-02-02,Yes
1855,"Mitchell, Prince and Craig",Agriculture,28364435,368,309,520539,Marketing,24,12.19,Yes,3671609,2025-02-02,No
1318,Newton-Hunt,Transportation,39360857,257,402,3872827,Debt Consolidation,48,9.54,No,2942970,2025-02-02,No
1809,Hicks-Washington,Healthcare,42478073,240,551,3979928,Equipment Purchase,48,7.36,No,4417209,2025-02-01,No
1657,Weiss-Hicks,Finance,12950571,265,754,3743327,Debt Consolidation,36,9.17,No,4679199,2025-02-01,Yes
1648,Farmer Inc,Education,15921595,147,400,2692806,Expansion,24,14.33,No,3899182,2025-02-01,No
1128,Tran Inc,Construction,48872760,454,652,1670234,Expansion,12,13.24,No,3968446,2025-01-31,Yes
1464,Miller PLC,Transportation,22765239,391,398,4763062,Equipment Purchase,60,10.67,No,571727,2025-01-30,No
1367,Rodriguez Inc,Transportation,8152747,253,719,3550087,Working Capital,60,13.94,No,2617228,2025-01-29,Yes
1289,Cordova-Pham,Manufacturing,46334458,486,348,2048061,Inventory Purchase,60,11.77,No,533791,2025-01-29,No
1953,Elliott Ltd,Transportation,1800101,127,512,3603548,Marketing,24,8.59,No,1686617,2025-01-29,No
1838,"Sutton, Mann and Davenport",Finance,29207970,220,385,3981143,Debt Consolidation,36,7.36,No,613506,2025-01-27,No
1400,"Lucero, Anderson and Cook",Transportation,47695565,265,624,2467322,Inventory Purchase,36,7.6,Yes,3313457,2025-01-27,No
1694,Maxwell-Richardson,Education,49055661,235,697,4249287,Inventory Purchase,60,12.04,No,2740927,2025-01-26,No
1143,Evans and Sons,Education,41906639,388,756,1922744,Equipment Purchase,60,7.77,No,3005251,2025-01-26,Yes
1034,"Armstrong, Williams and Herman",Retail,31375048,483,683,715937,Debt Consolidation,24,14.31,No,4768740,2025-01-25,Yes
1488,"Wilson, Gutierrez and Marshall",Retail,22827621,112,527,3348204,Marketing,12,8.51,No,566031,2025-01-25,No
1785,"Smith, Walker and Jackson",Transportation,44992967,238,314,3477932,Equipment Purchase,48,7.63,No,336539,2025-01-25,No
1755,Serrano LLC,Construction,10331795,38,389,1950924,Equipment Purchase,60,12.05,No,2498966,2025-01-25,No
1360,Schneider-Villanueva,Manufacturing,27854296,428,578,2430344,Equipment Purchase,36,8.45,No,2151847,2025-01-25,No
1432,"Sanders, Beck and Howard",Hospitality,23470291,77,358,1073737,Research & Development,60,14.86,No,3318896,2025-01-24,No
1638,Edwards PLC,Construction,45924507,400,322,3938187,Debt Consolidation,60,7.86,No,2535702,2025-01-24,No
1061,Weaver Group,Healthcare,32199893,472,593,4557335,Research & Development,12,13.41,No,2892894,2025-01-23,No
1646,Bell Ltd,Construction,14245696,17,832,3418843,Research & Development,12,12.3,No,350763,2025-01-22,No
1633,Campbell LLC,Education,33790042,237,720,1906210,Research & Development,24,13.58,No,2953561,2025-01-22,Yes
1698,"Riley, Bryan and Webb",Construction,45721695,282,316,805356,Debt Consolidation,24,7.13,Yes,477557,2025-01-22,No
1650,Thomas-Mendoza,Manufacturing,49123406,120,603,877635,Inventory Purchase,24,13.36,No,1614458,2025-01-21,Yes
1122,Keller Group,Hospitality,37992982,168,559,1014565,Debt Consolidation,36,10.76,Yes,841043,2025-01-20,No
1217,Vazquez-Mclean,Transportation,7944121,51,564,3728104,Expansion,48,11.35,No,86382,2025-01-20,No
1746,Moore Group,IT Services,22888358,159,403,4414366,Research & Development,48,11.69,No,4653446,2025-01-20,No
1068,Hamilton Group,Transportation,26185640,335,682,3854542,Real Estate,24,13.05,No,1740792,2025-01-19,No
1091,Flores-Torres,Retail,11055079,299,807,1655537,Real Estate,48,12.53,No,3081946,2025-01-17,Yes
1342,Bowman Inc,Education,25728848,75,839,664430,Marketing,36,12.3,No,1358064,2025-01-15,Yes
1118,Stephens Group,Finance,8449607,117,408,2868705,Real Estate,24,7.44,No,849717,2025-01-15,No
1239,"Smith, Wallace and Lee",Education,44092987,362,575,3012511,Equipment Purchase,36,12.19,No,3732796,2025-01-14,No
1508,"Arnold, Green and Ward",Manufacturing,26177127,492,793,1053122,Debt Consolidation,36,9.82,No,2378767,2025-01-13,Yes
1280,"Black, Gregory and Juarez",Finance,29356738,295,679,755496,Inventory Purchase,60,11.61,No,1501469,2025-01-12,Yes
1826,"Mclean, Miller and Johnson",Hospitality,10852415,23,546,3049311,Working Capital,60,8.61,No,2015629,2025-01-12,No
1271,Wells Inc,Healthcare,3721864,139,461,1949395,Research & Development,60,9.83,No,1947459,2025-01-12,No
1002,"Moreno, Sandoval and Ryan",Healthcare,11673774,28,713,3592963,Expansion,48,14.19,No,1377877,2025-01-11,No
1415,"Roberts, Martinez and Phillips",Healthcare,5785956,247,747,3060883,Working Capital,24,9.73,No,1377878,2025-01-10,No
1957,Gardner-Knight,Healthcare,23791342,60,331,2369798,Marketing,12,9.55,No,2409792,2025-01-10,No
1207,"Allen, Gonzalez and English",Healthcare,49571172,450,626,2126110,Expansion,60,9.3,Yes,1856423,2025-01-09,No
1965,Lee Ltd,Manufacturing,42971665,358,735,3059470,Working Capital,36,14.81,No,4312563,2025-01-08,Yes
1336,Powell and Sons,Retail,4433382,151,501,4949433,Real Estate,12,9.35,No,4852850,2025-01-07,No
1586,Gonzalez Group,Agriculture,44497663,19,612,1567172,Inventory Purchase,60,9.83,No,1199164,2025-01-07,Yes
1311,Townsend-Sullivan,Retail,21275688,357,631,1520827,Inventory Purchase,48,9.93,No,1085211,2025-01-07,Yes
1428,Norton-Wilkerson,Construction,39559430,491,386,4491401,Inventory Purchase,12,12.17,No,4066899,2025-01-04,No
1797,"Jones, Robles and Soto",Construction,42664130,397,392,4940349,Marketing,36,7.16,No,2274344,2025-01-04,No
1879,"Velez, Young and Turner",Healthcare,49436828,263,492,4408080,Inventory Purchase,48,7.73,No,905434,2025-01-03,No
1787,"Jones, Chen and Martinez",Finance,11556086,145,576,2379023,Inventory Purchase,24,8.99,No,2103790,2025-01-03,No
1419,"Adams, Brown and Wright",Construction,45793211,492,544,382140,Marketing,12,14.45,No,2159571,2025-01-01,No
1007,"Beck, Jackson and Carlson",Retail,40302467,498,569,1976336,Debt Consolidation,36,14.27,Yes,4248811,2024-12-30,No
1173,"Boyer, Wheeler and Martinez",Construction,14579173,69,815,4427802,Debt Consolidation,60,8.14,No,2915728,2024-12-30,No
1269,Berry-Anderson,Manufacturing,23708377,351,791,1274846,Research & Development,12,7.39,No,2877433,2024-12-28,Yes
1330,Walker-Moore,Education,10913841,297,383,826448,Working Capital,36,10.27,No,1886082,2024-12-26,No
1454,Lewis-Hawkins,Manufacturing,9676924,69,658,1957596,Equipment Purchase,48,12.72,No,3232999,2024-12-26,Yes
1368,"Baker, Frazier and Garrison",Construction,49344513,499,728,1593551,Debt Consolidation,36,12.66,No,799045,2024-12-25,No
1684,Martinez Ltd,Hospitality,17520181,267,526,395599,Debt Consolidation,48,11.28,No,258150,2024-12-25,No
1110,Wilson-Rose,Retail,15493549,86,428,1885818,Expansion,24,10.84,No,2004702,2024-12-25,No
1551,Guerrero Ltd,Agriculture,33073692,317,657,130257,Marketing,24,10.58,No,4600056,2024-12-25,Yes
1943,Williams Group,Transportation,13529971,334,710,2189319,Research & Development,24,12.67,No,4430268,2024-12-25,Yes
1846,"Watson, Dunlap and Garcia",Transportation,40092598,403,554,3552629,Marketing,12,11.34,No,2548002,2024-12-24,No
1696,"Stafford, Moreno and Thompson",Finance,27931806,19,686,951161,Debt Consolidation,60,8.15,No,2632977,2024-12-24,Yes
1863,Jensen Ltd,Hospitality,39785284,438,703,899687,Expansion,24,12.01,No,1850830,2024-12-23,Yes
1861,Cantu-Carroll,IT Services,35932801,197,428,2622919,Marketing,60,11.15,No,588769,2024-12-23,No
1026,Fernandez LLC,Manufacturing,18271808,102,612,808175,Research & Development,60,11.52,No,1651207,2024-12-22,Yes
1155,"Mitchell, Brown and Henry",Education,19803796,19,637,4569353,Inventory Purchase,60,13.27,No,2948845,2024-12-20,No
1424,Griffith PLC,Finance,31272855,126,848,1897519,Real Estate,60,14.8,No,3815444,2024-12-20,Yes
1460,Salas-White,Retail,30253634,427,438,2850025,Equipment Purchase,60,11.78,No,900122,2024-12-20,No
1358,Williams-Griffin,Hospitality,41686940,320,426,1960971,Working Capital,12,10.94,Yes,192617,2024-12-20,No
1191,Williams PLC,Healthcare,2732465,128,653,908301,Real Estate,12,9.68,No,3577089,2024-12-20,Yes
1450,"Roach, Thomas and Mayo",Retail,26242722,358,682,307352,Debt Consolidation,36,10.82,No,477479,2024-12-20,Yes
1568,"Murphy, Hill and Moore",Retail,48364509,431,749,100917,Real Estate,36,14.57,No,2342056,2024-12-20,Yes
1434,Guzman LLC,Retail,39747710,453,799,4002908,Debt Consolidation,12,10.51,No,4303459,2024-12-19,Yes
1912,James-Hodges,Transportation,44859585,490,463,992015,Inventory Purchase,24,10.92,No,4974824,2024-12-18,No
1178,Gardner Inc,IT Services,4266402,412,526,144816,Expansion,24,14.99,No,902224,2024-12-17,No
1324,"Saunders, Villanueva and Mills",Hospitality,48878478,93,642,4284238,Inventory Purchase,36,9.88,No,4009015,2024-12-15,Yes
