Enterprise_ID,Enterprise_Name,TAT_Score,Loan_Amount,Loan_Status,Risk_Category,Last_Assessed_Date,Credit_Score,Sector,Remarks
ENT0023,Blake Inc Pvt Ltd,3.2,49371965.09,Active,High,2024-09-27,614,Finance,Start your trial yard.
ENT0024,Roberts PLC Pvt Ltd,0.76,87922950.32,Active,Low,2023-08-15,797,Services,Determine knowledge keep future eight rich poor.
ENT0025,Livingston-Kelly Pvt Ltd,4.9,53737910.78,Active,Low,2024-01-27,786,Retail,Answer generation section level statement night push audience.
ENT0026,"Mills, Beck and Bolton Pvt Ltd",1.69,87370871.07,Closed,High,2024-12-06,852,Finance,Example form decide stand special.
ENT0027,Weaver LLC Pvt Ltd,3.71,40500237.7,Defaulted,Medium,2024-02-28,748,Energy,Cost car determine board after general magazine.
ENT0028,Hodge-Warren Pvt Ltd,1.04,23245036.37,Closed,Low,2023-08-09,867,Finance,He attorney difficult bag eat try whatever still.
ENT0029,Lamb-Roberts Pvt Ltd,3.15,1711893.06,Defaulted,Medium,2023-06-23,534,Services,Sure professor over eight future adult sign.
ENT0030,"Wright, Duncan and Bass Pvt Ltd",4.57,86103904.63,Active,Low,2023-08-01,585,Energy,Card perhaps general ability from.
ENT0031,Barrera-Walter Pvt Ltd,1.46,14098873.02,Defaulted,Low,2023-06-15,548,Energy,Stand movement general blood.
ENT0032,Robinson-King Pvt Ltd,4.13,19850581.52,Active,Medium,2023-07-26,662,Logistics,Month poor itself claim able hundred across environmental.
ENT0033,"Hays, Evans and Oconnell Pvt Ltd",2.35,86519838.09,Active,Medium,2025-04-21,400,Manufacturing,Determine woman travel yes million.
ENT0034,Garcia Group Pvt Ltd,2.31,34590957.93,Active,Low,2025-02-11,494,Energy,Soldier current recent bill contain specific decision.
ENT0035,Brown-Hutchinson Pvt Ltd,1.13,19165315.54,Closed,Low,2024-11-30,377,Energy,Detail increase hour responsibility.
ENT0036,Jones LLC Pvt Ltd,4.14,85740722.35,Active,Low,2023-08-12,853,Manufacturing,Project think day hope clear future.
ENT0037,Nunez LLC Pvt Ltd,4.86,92710331.32,Active,Low,2023-07-12,797,Energy,Bag often everything order scene main.
ENT0038,Foster and Sons Pvt Ltd,1.46,40702988.96,Active,Low,2023-09-02,302,Logistics,Light return about explain behavior factor.
ENT0039,Ramirez LLC Pvt Ltd,1.69,78622989.59,Closed,Low,2023-12-29,869,Energy,Represent western maintain room land leg just.
ENT0040,"Saunders, Martin and Douglas Pvt Ltd",1.2,30374074.72,Active,Low,2025-04-20,855,Manufacturing,Sing attorney consumer executive and.
ENT0041,Acosta-Mcgrath Pvt Ltd,3.87,6659362.02,Defaulted,Low,2024-03-09,843,Retail,Series wall mind especially begin ok.
ENT0042,"Chan, Campbell and Malone Pvt Ltd",0.76,51275021.2,Active,Low,2024-05-30,369,Finance,Cause model family.
ENT0043,"Stone, Brown and Henderson Pvt Ltd",2.32,94218016.6,Defaulted,Low,2023-08-26,340,Services,Put accept action win sign others.
ENT0044,Edwards-Long Pvt Ltd,2.39,58783556.64,Defaulted,Low,2025-04-29,567,Finance,Herself daughter in never office certain conference.
ENT0045,Newton and Sons Pvt Ltd,3.51,32104202.42,Closed,Low,2023-07-03,607,Energy,Myself behavior usually image.
ENT0046,Reed Group Pvt Ltd,1.92,75434584.75,Active,Low,2024-07-16,876,Services,Hair stay statement bit economy throughout.
ENT0047,Mathis Inc Pvt Ltd,0.83,22102276.91,Closed,Low,2025-01-06,657,Services,Key debate fly foot draw event.
ENT0048,Walters Ltd Pvt Ltd,4.46,37583181.79,Active,Low,2023-08-13,856,Healthcare,Hold of between month.
ENT0049,Klein Inc Pvt Ltd,3.25,98736073.3,Defaulted,Low,2023-08-08,867,Healthcare,Court must he.
ENT0050,King Group Pvt Ltd,4.69,11255063.69,Active,Low,2024-01-28,409,Retail,Research law itself something ask.
ENT0051,Golden LLC Pvt Ltd,1.73,60878152.88,Defaulted,Low,2025-05-20,570,Energy,Goal town human discover party group treat.
ENT0052,Hill-Meza Pvt Ltd,1.63,90907745.58,Active,Low,2025-05-14,733,Healthcare,Foreign age resource.
ENT0053,Manning-Richardson Pvt Ltd,0.7,34022097.32,Active,Medium,2025-04-11,568,Retail,Visit offer few peace my.
ENT0054,"Ross, Blair and Rose Pvt Ltd",3.84,55616361.69,Closed,Low,2024-03-05,414,Services,Attorney theory people little.
ENT0055,Jacobs Ltd Pvt Ltd,4.75,69410942.75,Active,Low,2024-02-27,678,Retail,Side citizen road reason three other response decide.
ENT0056,"Holland, Hughes and Velasquez Pvt Ltd",2.43,5141056.96,Closed,Medium,2023-08-22,340,Technology,Focus visit source pattern large rate else hear.
ENT0057,"Campbell, Long and Chen Pvt Ltd",1.45,25703444.18,Active,Low,2023-10-22,873,Logistics,Full staff me indicate.
ENT0058,Bailey-Hall Pvt Ltd,4.88,75198283.5,Active,Medium,2024-02-27,481,Logistics,Standard husband community short.
ENT0059,"Howard, Park and Shea Pvt Ltd",0.61,73919882.7,Closed,Medium,2023-08-29,721,Finance,Each together cup save.
ENT0060,Schroeder-Jensen Pvt Ltd,1.7,78950076.4,Active,Low,2025-02-28,339,Energy,Wind evidence yeah still.
ENT0061,"Adkins, Rose and Gordon Pvt Ltd",1.5,81842073.95,Closed,Low,2023-07-26,533,Finance,Moment contain recent audience summer training nor.
ENT0062,Rojas PLC Pvt Ltd,0.61,20119849.04,Closed,Low,2025-02-22,371,Healthcare,Most cold she focus TV threat meeting doctor.
ENT0063,Houston-Knapp Pvt Ltd,2.08,51431161.88,Defaulted,High,2024-06-22,849,Technology,Water voice debate almost in tree require alone.
ENT0064,Hoffman-Ramos Pvt Ltd,4.73,12418833.43,Closed,Low,2025-01-06,571,Manufacturing,Cost test film poor particularly power unit.
ENT0065,Flowers LLC Pvt Ltd,0.99,44021812.1,Defaulted,Medium,2024-08-21,746,Services,Quite two show especially our.
ENT0066,"Garcia, Ochoa and Johnson Pvt Ltd",2.23,58082216.31,Closed,Low,2023-06-07,746,Manufacturing,Same product always black subject serve show.
ENT0067,"Fleming, Willis and Cohen Pvt Ltd",2.84,80844576.1,Defaulted,Medium,2024-02-16,501,Technology,Town participant deep hear.
ENT0068,White-Brown Pvt Ltd,2.44,94938574.11,Closed,Medium,2025-03-11,427,Healthcare,Including more almost line hundred.
ENT0069,"Hernandez, Martinez and Rose Pvt Ltd",2.78,67022397.51,Closed,Low,2023-09-01,602,Retail,Never read particular attorney executive beyond.
ENT0070,"Hess, Waters and Perez Pvt Ltd",1.36,66828013.99,Closed,Medium,2024-06-18,478,Healthcare,Quite contain five opportunity customer door.
ENT0071,James-Obrien Pvt Ltd,2.33,83538791.76,Closed,Low,2024-02-05,740,Technology,Thus age hear appear no hair one cut.
ENT0072,Wilson Group Pvt Ltd,2.59,44773820.13,Active,Low,2023-10-06,473,Services,Low suffer sister item be half.
ENT0073,Rodriguez-Hall Pvt Ltd,1.78,66721529.79,Defaulted,Low,2024-01-15,540,Healthcare,Will remain hard range describe decision somebody.
ENT0074,Wright Inc Pvt Ltd,1.51,20713863.34,Active,Low,2024-04-02,786,Services,Drop soon eat cause offer.
ENT0075,Bradshaw-Mitchell Pvt Ltd,2.55,88727554.0,Defaulted,Low,2024-10-15,693,Energy,Really catch everybody production.
ENT0076,Murphy and Sons Pvt Ltd,2.3,15609563.16,Defaulted,Low,2024-05-25,409,Logistics,Strong maintain ready it many.
ENT0077,Lee-Wiley Pvt Ltd,1.48,80606875.76,Defaulted,Low,2025-02-09,351,Finance,Movie card speak and each.
ENT0078,Gonzales PLC Pvt Ltd,4.63,13014501.32,Active,Medium,2024-11-26,843,Technology,Wonder tend maintain either.
ENT0079,"Patterson, Brock and Bush Pvt Ltd",4.78,89251166.66,Defaulted,Medium,2024-01-18,816,Logistics,Throw speech put response factor serious many.
ENT0080,Wilcox and Sons Pvt Ltd,4.24,55239323.11,Active,Medium,2024-12-08,786,Energy,Rather like wear rise take.
ENT0081,"Lee, Garza and Hogan Pvt Ltd",1.67,25476734.01,Defaulted,Low,2024-04-18,833,Energy,Friend who major eat.
ENT0082,Phillips Group Pvt Ltd,3.32,28185147.24,Active,Medium,2024-03-26,540,Healthcare,Little he customer its.
ENT0083,Fisher-Fuller Pvt Ltd,2.01,89409656.45,Active,Low,2023-07-27,536,Logistics,Consumer Democrat late letter model ground environmental improve.
ENT0084,"Martinez, Brooks and Blanchard Pvt Ltd",3.62,70935495.03,Active,Low,2024-08-01,638,Energy,Theory standard quite per interview.
ENT0085,"King, Griffin and Singh Pvt Ltd",2.37,21476604.56,Closed,Low,2024-07-27,898,Manufacturing,Number morning enjoy much policy should with.
ENT0086,James Inc Pvt Ltd,4.36,76793863.04,Closed,Low,2023-07-29,660,Healthcare,Money despite reveal art.
ENT0087,Chapman Group Pvt Ltd,3.89,85491347.11,Closed,Low,2023-07-31,859,Finance,Cell thought find boy rest economic.
ENT0088,Smith Ltd Pvt Ltd,2.7,28020595.86,Closed,Low,2024-01-04,644,Logistics,Drug particular have across.
ENT0089,"Wilson, Brown and Cardenas Pvt Ltd",3.76,84210060.64,Active,High,2024-09-20,846,Manufacturing,Physical anything do.
ENT0090,Garza-Richardson Pvt Ltd,4.58,59597384.79,Defaulted,Low,2024-08-22,738,Retail,Try friend value TV modern three process allow.
ENT0091,Scott and Sons Pvt Ltd,4.4,18991173.62,Closed,Low,2025-02-08,516,Energy,Perhaps want seem his.
ENT0092,Mcguire-Thomas Pvt Ltd,1.97,76361741.08,Closed,Low,2024-07-03,731,Healthcare,Song under when control ability against reduce.
ENT0093,Cook PLC Pvt Ltd,4.26,47560376.79,Defaulted,Low,2024-01-06,658,Finance,Consumer also travel seek national form.
ENT0094,Larsen Inc Pvt Ltd,3.43,78342071.91,Defaulted,Low,2024-07-31,331,Finance,Campaign music maybe allow cover weight house.
ENT0095,"Hall, Vega and Figueroa Pvt Ltd",1.4,3017621.71,Active,Low,2024-07-12,784,Services,Follow stay once hand dream father whose maintain.
ENT0096,"Anderson, Wilson and Harrington Pvt Ltd",3.04,22578489.55,Defaulted,Low,2023-07-17,677,Retail,Actually computer water pay book for size.
ENT0097,"Heath, Rios and Wong Pvt Ltd",3.23,96409739.67,Defaulted,Low,2024-03-05,467,Healthcare,School cell pattern need door out dark.
ENT0098,Mathis PLC Pvt Ltd,0.99,3542164.12,Closed,Low,2024-06-29,684,Logistics,Billion control skin century of.
ENT0099,"Hall, Thomas and Lamb Pvt Ltd",4.74,20634647.93,Defaulted,Medium,2024-04-06,548,Services,Book physical make.
ENT0100,Hamilton LLC Pvt Ltd,3.64,30856685.86,Defaulted,Medium,2024-10-07,423,Manufacturing,Strong begin decision leader bring challenge board.
ENT0101,Jones PLC Pvt Ltd,2.06,43409423.31,Closed,Low,2024-07-09,649,Manufacturing,Significant inside deep another animal.
ENT0102,Kelly Ltd Pvt Ltd,4.32,82410760.89,Active,Low,2025-03-15,670,Energy,Relationship indicate door hour.
ENT0103,Smith-Lee Pvt Ltd,3.68,44113227.36,Defaulted,Low,2023-11-02,576,Energy,Seat speak record religious building each there.
ENT0104,"Alexander, Williams and Mcknight Pvt Ltd",2.59,82747725.24,Defaulted,Low,2023-06-08,551,Services,Would heart major ball.
ENT0105,Schroeder-Flores Pvt Ltd,1.76,45629398.02,Closed,Low,2024-08-05,688,Technology,Fight image air be blue.
ENT0106,Shaffer and Sons Pvt Ltd,0.63,85244330.79,Active,Low,2024-12-07,663,Healthcare,Point like all establish yard where around run.
ENT0107,Salinas-Decker Pvt Ltd,2.03,88151678.0,Defaulted,Medium,2024-11-02,869,Manufacturing,A century five try.
ENT0108,Terry PLC Pvt Ltd,2.82,19914585.93,Active,Medium,2023-09-21,800,Finance,Direction as main single challenge scientist drop.
ENT0109,"Moore, Peterson and Williams Pvt Ltd",3.61,64944387.07,Closed,Low,2023-10-07,317,Services,Girl last expect miss rule area practice.
ENT0110,Pierce-Wells Pvt Ltd,1.82,41035711.74,Active,Low,2024-03-18,895,Technology,Inside away especially account lot message.
ENT0111,Martin LLC Pvt Ltd,2.63,53561271.18,Closed,High,2023-11-29,863,Technology,Fast any change sense.
ENT0112,Johnson LLC Pvt Ltd,2.08,45920781.02,Closed,Low,2024-05-06,423,Finance,Experience relationship thank company fact before for big.
ENT0113,Kelly and Sons Pvt Ltd,1.92,74545225.3,Defaulted,Low,2024-10-07,521,Energy,Ball at where moment seven each.
ENT0114,Hensley-Clark Pvt Ltd,1.74,59369103.69,Defaulted,Low,2024-09-21,402,Finance,Article choose pass ten company material process.
ENT0115,Callahan-Obrien Pvt Ltd,1.83,36727225.85,Closed,Low,2024-08-10,846,Retail,Where certainly skill.
ENT0116,Johnson-Roberts Pvt Ltd,1.73,97455198.18,Defaulted,Low,2023-08-15,429,Energy,Share box southern city rest no take.
ENT0117,"Matthews, Norris and Berg Pvt Ltd",0.96,2214274.93,Closed,Low,2025-05-01,751,Technology,Instead less each road season.
ENT0118,Cross PLC Pvt Ltd,1.33,6086295.0,Closed,Low,2024-10-13,366,Logistics,Factor professor lawyer society draw into provide.
ENT0119,Cox-Oconnell Pvt Ltd,2.71,58125094.49,Defaulted,Low,2024-01-12,452,Healthcare,Hope job get through key.
ENT0120,"Williams, Payne and Gonzales Pvt Ltd",0.88,25570904.57,Defaulted,Medium,2024-11-19,531,Logistics,Future peace scene son up.
ENT0121,Curtis LLC Pvt Ltd,2.53,44829379.4,Defaulted,High,2024-10-19,612,Manufacturing,Just long draw usually phone.
ENT0122,Brown-Conley Pvt Ltd,3.24,74268841.24,Active,Medium,2023-07-25,570,Services,Mind decide station road weight candidate rest go.
ENT0123,"Johnson, Rosales and Pierce Pvt Ltd",1.21,18207541.28,Active,Low,2024-09-16,718,Energy,Minute final television great TV himself.
ENT0124,"Reynolds, Wilkinson and Roberson Pvt Ltd",3.6,47521335.42,Active,Low,2024-05-18,589,Energy,Interview run current group today who.
ENT0125,Wood-Green Pvt Ltd,0.82,24108956.81,Closed,Medium,2024-12-25,502,Logistics,Help card star from capital any.
ENT0126,"Koch, Anderson and Carr Pvt Ltd",1.02,23256135.58,Active,High,2024-08-11,445,Services,End career position huge teacher.
ENT0127,"Mills, Sparks and Rodriguez Pvt Ltd",0.77,79470228.06,Defaulted,Medium,2023-10-02,882,Healthcare,Message sometimes listen shake.
ENT0128,Lee-Carr Pvt Ltd,2.48,47401099.06,Closed,Medium,2023-10-16,578,Energy,Benefit method only sure statement yes mouth conference.
ENT0129,"Hanson, Kim and Walker Pvt Ltd",2.47,60205629.54,Closed,Medium,2025-01-05,556,Manufacturing,Minute prepare ten few next nation.
ENT0130,"Garcia, Morgan and Lewis Pvt Ltd",0.91,96229199.12,Defaulted,Low,2024-08-30,321,Healthcare,Sport that report performance most material something.
ENT0131,Hughes LLC Pvt Ltd,3.09,76547791.41,Active,Low,2024-10-08,752,Healthcare,Tough guy account theory fish true.
ENT0132,Daniels-Haynes Pvt Ltd,1.32,58947632.9,Defaulted,Medium,2024-07-13,393,Energy,Player top information cost we technology public.
ENT0133,Castillo Inc Pvt Ltd,2.07,33997530.97,Defaulted,Low,2023-07-19,464,Technology,Result pick truth work worker surface bag.
ENT0134,"Russell, Sanchez and Hudson Pvt Ltd",2.35,50051433.08,Defaulted,High,2025-04-25,863,Manufacturing,During former nature unit glass.
ENT0135,Davis Group Pvt Ltd,2.55,32137198.56,Closed,Low,2024-01-02,713,Manufacturing,Yourself approach say economic choice few skin.
ENT0136,Stewart Inc Pvt Ltd,3.46,54716765.84,Closed,Low,2024-02-29,830,Technology,For rock responsibility could meeting wait government yourself.
ENT0137,"Ray, Cook and Rodriguez Pvt Ltd",3.3,50350817.14,Closed,Medium,2024-09-09,508,Healthcare,Next loss floor ahead threat edge traditional.
ENT0138,"Bowen, Mcpherson and Moore Pvt Ltd",2.97,92839603.32,Closed,Medium,2025-05-22,796,Services,Bed hand western significant people enough white.
ENT0139,Johnson Inc Pvt Ltd,0.63,63372205.42,Active,Medium,2024-04-07,618,Manufacturing,Letter chair reality.
ENT0140,"Franklin, Ochoa and Kane Pvt Ltd",2.99,10227710.93,Active,Low,2024-12-30,420,Retail,Relationship lawyer newspaper region time.
ENT0141,Robertson Ltd Pvt Ltd,2.74,71943729.27,Defaulted,Medium,2024-04-10,725,Energy,Culture group conference.
ENT0142,Decker-Johnston Pvt Ltd,4.91,25129359.7,Defaulted,Low,2023-12-07,495,Retail,Pressure challenge change manage choose.
ENT0143,"Koch, Diaz and Stevenson Pvt Ltd",4.39,28348492.88,Closed,Low,2023-07-30,819,Healthcare,Beat add while region hold.
ENT0144,"Lynn, Rodriguez and Delgado Pvt Ltd",4.19,29001059.34,Closed,Medium,2024-05-08,893,Energy,Hundred near person wear suddenly prepare expert.
ENT0145,Santana LLC Pvt Ltd,4.39,45208191.91,Closed,Low,2023-08-14,865,Logistics,Population career cut answer expert also probably probably.
ENT0146,Wright LLC Pvt Ltd,2.55,32855957.67,Active,High,2023-08-18,544,Logistics,Federal happy although leader.
ENT0147,"Friedman, Garcia and Reed Pvt Ltd",1.55,77778903.03,Active,Low,2024-12-26,784,Logistics,Rate course society door.
ENT0148,Curry-Roberts Pvt Ltd,2.24,66705194.12,Defaulted,High,2024-12-22,807,Manufacturing,Do close board heavy himself sit appear.
ENT0149,"Hernandez, Glover and Frey Pvt Ltd",1.07,96570005.43,Closed,Medium,2025-01-30,750,Services,Head a word occur.
ENT0150,Perry Ltd Pvt Ltd,2.87,46235879.37,Defaulted,Low,2024-12-07,458,Services,Two billion enough hard.
ENT0151,Shepherd-Macias Pvt Ltd,2.61,96951159.43,Closed,Medium,2023-12-08,707,Services,Several product network talk American hope seat but.
ENT0152,Schmidt-Hamilton Pvt Ltd,4.33,85381792.32,Defaulted,Low,2024-10-20,624,Energy,Money lose music everybody loss station.
ENT0153,"Cantu, Parker and Young Pvt Ltd",4.43,4554010.88,Active,Low,2023-07-30,594,Finance,Wear better wall yard least deep.
ENT0154,"Miller, Goodman and Miller Pvt Ltd",3.86,43963175.72,Active,Medium,2024-08-12,402,Energy,Nor rather according reduce require.
ENT0155,Jones LLC Pvt Ltd,1.25,30647141.94,Active,Low,2023-10-18,357,Healthcare,Follow ok attention garden like weight.
ENT0156,Jackson LLC Pvt Ltd,2.11,43637992.0,Active,Low,2024-07-24,879,Retail,Hospital nation particular find write thousand I.
ENT0157,Scott Group Pvt Ltd,1.26,8817866.72,Closed,Medium,2024-05-02,546,Energy,Have spring friend we read.
ENT0158,"Shannon, Alvarado and Wiley Pvt Ltd",4.61,15168654.29,Closed,Medium,2024-08-27,770,Healthcare,Notice let feel miss hope reason.
ENT0159,Grimes Ltd Pvt Ltd,3.5,89991944.64,Closed,High,2025-01-27,859,Retail,Source night together eight.
ENT0160,Fields Ltd Pvt Ltd,0.83,94578327.86,Defaulted,Low,2024-05-02,734,Healthcare,Plant enough investment join product activity.
ENT0161,"Walker, Bradford and Goodman Pvt Ltd",2.56,30910045.38,Closed,Medium,2024-08-25,409,Finance,Product standard every thought learn condition.
ENT0162,Grant-Blackwell Pvt Ltd,2.22,36536956.6,Closed,High,2025-03-17,602,Manufacturing,Wish receive fall.
ENT0163,French-Perez Pvt Ltd,4.9,66164751.78,Closed,Low,2025-03-02,350,Energy,Thus while poor scene like.
ENT0164,Flores-White Pvt Ltd,4.25,90390556.93,Active,Medium,2023-11-25,660,Finance,Hour chance outside yourself.
ENT0165,Murphy LLC Pvt Ltd,3.36,62468225.15,Defaulted,Medium,2024-06-16,440,Services,Floor heavy team others.
ENT0166,"Hernandez, Daniel and Miller Pvt Ltd",4.57,64987720.28,Closed,Medium,2025-03-22,334,Technology,Employee peace expert way my door say risk.
ENT0167,"Scott, Cabrera and Guzman Pvt Ltd",3.8,9923204.2,Closed,Low,2024-01-27,725,Retail,Not public continue material require.
ENT0168,Davenport Ltd Pvt Ltd,1.4,78864768.29,Closed,Low,2024-03-15,579,Retail,Produce recently respond child letter in like.
ENT0169,"Leach, Gray and Collins Pvt Ltd",1.66,82644291.44,Closed,High,2024-12-17,602,Technology,Team memory eye collection much.
ENT0170,Hamilton-Howe Pvt Ltd,4.12,47364807.5,Active,Low,2024-10-13,531,Logistics,Green this rest like with race fund.
ENT0171,"Mendez, Hill and Kelley Pvt Ltd",4.85,80654176.76,Closed,Low,2025-05-07,704,Manufacturing,Act occur design phone.
ENT0172,Moore LLC Pvt Ltd,1.69,13235284.94,Closed,Medium,2025-04-30,568,Logistics,National account left ground worry question.
ENT0173,Moore-Moore Pvt Ltd,4.2,94088897.29,Active,Medium,2024-06-11,782,Manufacturing,Two important cup success support she medical.
ENT0174,Hutchinson PLC Pvt Ltd,3.29,94373744.47,Closed,High,2024-09-13,526,Services,Arm chance run rich.
ENT0175,Garcia LLC Pvt Ltd,3.36,46962486.1,Defaulted,Low,2025-01-21,718,Services,Final save under eye yeah help action.
ENT0176,Trujillo-Cox Pvt Ltd,1.13,94679891.76,Closed,High,2023-08-08,418,Services,His use sing charge push establish old.
ENT0177,"Jones, Sanchez and Smith Pvt Ltd",1.56,54217113.98,Closed,Low,2024-02-17,853,Logistics,Watch ahead baby view whether front.
ENT0178,"Chang, Shannon and Richards Pvt Ltd",3.14,72933315.91,Closed,Medium,2025-05-20,801,Logistics,Society four international religious opportunity.
ENT0179,"Harvey, Weaver and Turner Pvt Ltd",4.73,28694273.87,Defaulted,Low,2024-05-24,754,Energy,Unit daughter bill.
ENT0180,"Schmidt, Watson and Stewart Pvt Ltd",4.78,85689569.14,Active,High,2023-05-23,676,Technology,Six detail best network compare sell event.
ENT0181,Turner Group Pvt Ltd,0.77,28312262.65,Active,High,2024-10-03,765,Services,Adult front perform media.
ENT0182,Benjamin and Sons Pvt Ltd,3.48,64528742.26,Defaulted,High,2023-08-22,351,Technology,Experience most cost player who.
ENT0183,"Mason, Harris and Williams Pvt Ltd",1.6,13466464.65,Defaulted,Low,2024-07-07,867,Finance,Girl parent ability arrive.
ENT0184,Woodward Inc Pvt Ltd,3.14,81492245.13,Active,Low,2024-03-15,451,Manufacturing,Rule once cold foreign decision moment pick.
ENT0185,"Lane, Shah and Smith Pvt Ltd",1.75,98418785.05,Active,Low,2025-02-14,478,Services,Question situation energy.
ENT0186,Harding Ltd Pvt Ltd,3.47,3552234.83,Active,Low,2023-08-09,543,Technology,Take world someone green push force product yet.
ENT0187,Lyons Ltd Pvt Ltd,0.57,27271383.32,Active,Medium,2024-09-05,838,Services,Their discover wish candidate color travel.
ENT0188,Jones-Maldonado Pvt Ltd,3.86,48148350.58,Closed,Low,2024-03-27,411,Energy,Certain admit lay free than form black another.
ENT0189,Tucker PLC Pvt Ltd,2.77,94596148.65,Active,Medium,2024-05-11,833,Healthcare,Fight game really political public born.
ENT0190,"Kennedy, Arnold and Weeks Pvt Ltd",2.56,96438592.13,Active,High,2025-03-21,711,Logistics,Pattern little worker only early.
ENT0191,Johnson-Torres Pvt Ltd,3.59,49536616.56,Closed,Low,2024-10-27,382,Technology,Sing price size take car collection attack community.
ENT0192,"Smith, Brown and Wood Pvt Ltd",3.24,7502541.1,Closed,Medium,2023-11-14,899,Technology,Rest their case sing visit probably.
ENT0193,Chapman and Sons Pvt Ltd,2.21,60141793.66,Closed,Low,2023-09-22,740,Services,Live general scientist Congress economy political student.
ENT0194,"Garcia, Anderson and Owens Pvt Ltd",4.07,12326993.17,Defaulted,Medium,2025-05-16,864,Finance,Ability painting animal realize seek floor.
ENT0195,Thornton Ltd Pvt Ltd,2.44,88921011.18,Closed,Low,2025-03-12,764,Logistics,Stop clearly represent.
ENT0196,Jones Ltd Pvt Ltd,2.37,10413498.09,Closed,Low,2024-07-14,561,Technology,Company spend story girl rule media provide.
ENT0197,Walton Inc Pvt Ltd,4.79,68995282.51,Closed,Low,2023-09-28,387,Services,Between wear hair type already.
ENT0198,"Ford, Allen and Jordan Pvt Ltd",2.44,74714307.95,Closed,Medium,2023-07-12,869,Manufacturing,Senior where fill modern.
ENT0199,"Buchanan, Jensen and Yoder Pvt Ltd",3.14,56597054.99,Closed,Medium,2023-12-15,720,Technology,Quality fill door kitchen debate lay.
ENT0200,Carey and Sons Pvt Ltd,4.43,94171857.02,Closed,Medium,2023-06-27,352,Healthcare,Pick organization country remain form capital.
ENT0201,Barnes-Payne Pvt Ltd,3.2,35812972.38,Defaulted,Low,2024-03-22,458,Energy,Student standard mean.
ENT0202,Taylor-Torres Pvt Ltd,1.51,11713619.81,Defaulted,Low,2024-06-08,585,Finance,High chance result more affect.
ENT0203,Russell-Prince Pvt Ltd,4.13,84670360.97,Defaulted,Medium,2024-05-10,870,Manufacturing,Time Republican against plan growth.
